job_number,prop_stories, occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,units_net_complete,units_net_incomplete,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,Latitude,Longitude,Reason
510051444,,,Hotel or Dormitory,,,83,,83,,,,,,,,,,,,,,,,,,change occ_prop
402166160,,,,,0,,,,,,,,,,,,,,,,,4120280064,4261162,40.677612,-73.792208,Geocoding (add Lat/Long) / add u_init
421328236,,,Residential: Multi-Family,Residential,10,98,10,88,,,,,,,,,,,,,TRUE,,,40.693121,-73.808618,Geocoding (add Lat/Long) / mixed-use hotel-res 
421315222,,,Residential: Multi-Family,Residential,12,88,12,76,,,,,,,,,,,,,TRUE,,,40.692251,-73.80888,Geocoding (add Lat/Long) / mixed-use hotel-res 
104576246,12,,Residential: Multi-Family,Residential,,194,108,86,108,0,,,,,,108,0,,,,TRUE,1007367501,1000000,40.75613,-73.994319,Geocoding (add Lat/Long) / add prop_stories / mixed-use hotel-res 
104311031,,,Hotel or Dormitory,,,,,,,,,,,,,,,,,,,1005560048,1087924,40.732491,-73.989424,Geocoding (add Lat/Long) / change occ_prop
201085976,,,Assisted Living Institution,,,,,,,,,,,,,,,,,,,2026070034,2114617,40.826964,-73.906682,Geocoding (add Lat/Long) / change occ_prop
302081315,6,,,,,,,,,,,,,,,,,,,,,3023070038,3424811,40.71731,-73.95346,Geocoding (add Lat/Long) / add prop_stories / 
302192678,6,,,,,,,,,,,,,,,,,,,,,3029070010,3394979,40.71529,-73.94111,Geocoding (add Lat/Long) / add prop_stories / 
301837092,7,,,,,,,,,,,,,,,,,,,,,3011740021,3414098,40.674014,-73.961823,Geocoding (add Lat/Long) / add prop_stories / 
302067484,7,,,,,,,,,,,,,,,,,,,,,3023220030,,40.71603,-73.95437,Geocoding (add Lat/Long) / add prop_stories / 
301880891,8,,,,,,,,,,,,,,,,,,,,,3053200024,3124033,40.649224,-73.974024,Geocoding (add Lat/Long) / add prop_stories / 
301914739,10,,,,,,,,,,,,,,,,,,,,,3001080012,3418152,40.698415,-73.984291,Geocoding (add Lat/Long) / add prop_stories / 
302022567,12,,,,,,,,,,,,,,,,,,,,,3001207503,3418103,40.696469,-73.984724,Geocoding (add Lat/Long) / add prop_stories / 
402102407,15,,,,,,,,,,,,,,,,,,,,,4000850041,4000717,40.745225,-73.944279,Geocoding (add Lat/Long) / add prop_stories / 
402191711,17,,,,,,,,,,,,,,,,,,,,,4050667501,4534020,40.755942,-73.836043,Geocoding (add Lat/Long) / add prop_stories / 
104048905,18,,,,,,,,,,,,,,,,,,,,,1008190059,1087261,40.739021,-73.99358,Geocoding (add Lat/Long) / add prop_stories / 
103682249,21,,,,,,,,,,,,,,,,,,,,,1001730027,1087082,40.717162,-74.004679,Geocoding (add Lat/Long) / add prop_stories / 
104560235,32,,,,,,,,,,,,,,,,,,,,,1013447503,1000000,40.755335,-73.967638,Geocoding (add Lat/Long) / add prop_stories / 
301988561,36,,,,,,,,,,,,,,,,,,,,,3001340001,3420828,40.695134,-73.983242,Geocoding (add Lat/Long) / add prop_stories / 
103983584,61,,,,,,,,,,,,,,,,,,,,,1008077501,1087535,40.74829,-73.990071,Geocoding (add Lat/Long) / add prop_stories / 
100147789,,,,,,,,,,,,,,,,,,,,,,1004860005,1007282,40.723409,-74.001461,Geocoding (add Lat/Long)
100211147,,,,,,,,,,,,,,,,,,,,,,1017270045,1083983,40.809755,-73.940952,Geocoding (add Lat/Long)
100236479,,,,,,,,,,,,,,,,,,,,,,1012500059,1034033,40.791351,-73.978306,Geocoding (add Lat/Long)
100355376,,,,,,,,,,,,,,,,,,,,,,1005120020,1007953,40.724845,-73.997871,Geocoding (add Lat/Long)
100363562,,,,,,,,,,,,,,,,,,,,,,1011397503,1084564,40.775177,-73.982168,Geocoding (add Lat/Long)
100459914,,,,,,,,,,,,,,,,,,,,,,1004750053,1007081,40.722086,-74.002132,Geocoding (add Lat/Long)
100486564,,,,,,,,,,,,,,,,,,,,,,1012710012,1034819,40.762748,-73.976915,Geocoding (add Lat/Long)
100497945,,,,,,,,,,,,,,,,,,,,,,1010720136,1026935,40.760971,-73.995022,Geocoding (add Lat/Long)
100498720,,,,,,,,,,,,,,,,,,,,,,1005110015,1007945,40.724936,-73.996598,Geocoding (add Lat/Long)
100499934,,,,,,,,,,,,,,,,,,,,,,1008460012,1016116,40.737676,-73.991116,Geocoding (add Lat/Long)
100560297,,,,,,,,,,,,,,,,,,,,,,1012490127,1033999,40.789981,-73.977787,Geocoding (add Lat/Long)
100633174,,,,,,,,,,,,,,,,,,,,,,1017230056,1053519,40.807629,-73.943652,Geocoding (add Lat/Long)
100651091,,,,,,,,,,,,,,,,,,,,,,1018710107,1056470,40.797086,-73.970973,Geocoding (add Lat/Long)
100666067,,,,,,,,,,,,,,,,,,,,,,1017530004,1054170,40.808506,-73.940328,Geocoding (add Lat/Long)
100689532,,,,,,,,,,,,,,,,,,,,,,1004420021,1006078,40.723618,-73.989729,Geocoding (add Lat/Long)
100718458,,,,,,,,,,,,,,,,,,,,,,1011290016,1028810,40.779614,-73.975411,Geocoding (add Lat/Long)
100846916,,,,,,,,,,,,,,,,,,,,,,1013420012,1080442,40.754045,-73.967599,Geocoding (add Lat/Long)
101019318,,,,,,,,,,,,,,,,,,,,,,1011620040,1030374,40.778053,-73.983008,Geocoding (add Lat/Long)
101045833,,,,,,,,,,,,,,,,,,,,,,1008660064,1017187,40.74956,-73.982066,Geocoding (add Lat/Long)
101056170,,,,,,,,,,,,,,,,,,,,,,1019040018,1057546,40.80472,-73.949495,Geocoding (add Lat/Long)
101075275,,,,,,,,,,,,,,,,,,,,,,1011830120,1030976,40.779753,-73.985871,Geocoding (add Lat/Long)
101291870,,,,,,,,,,,,,,,,,,,,,,1008900025,1087628,40.746447,-73.97923,Geocoding (add Lat/Long)
101311849,,,,,,,,,,,,,,,,,,,,,,1005627501,1009119,40.732604,-73.992957,Geocoding (add Lat/Long)
101365292,,,,,,,,,,,,,,,,,,,,,,1001907504,1002167,40.720214,-74.007468,Geocoding (add Lat/Long)
101397846,,,,,,,,,,,,,,,,,,,,,,1014270016,1043970,40.769399,-73.959042,Geocoding (add Lat/Long)
101412008,,,,,,,,,,,,,,,,,,,,,,1007350057,1012978,40.75639,-73.996138,Geocoding (add Lat/Long)
101443742,,,,,,,,,,,,,,,,,,,,,,1018400052,1055502,40.79797,-73.962239,Geocoding (add Lat/Long)
101451395,,,,,,,,,,,,,,,,,,,,,,1013630037,1040143,40.754414,-73.96413,Geocoding (add Lat/Long)
