job_number,job_type,job_description,bldg_type,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_outlier,x_geomsource,x_reason,latitude,longitude,geom
421090615,Alteration,"INTERIOR RENOVATION OF EXISTING CHURCH BUILDING, TO AMEND EXISTING OCCUPANCY U SE OF SPACES ON CELLAR, FIRST & SECOND FLOOR",OTHERS,Public,Assembly: Other,Other,2,2,18689,18689,0,0,0,0,,,,,,Permit issued,12/11/2018 12:00:00 AM,07/14/2015,07/14/2015,12/08/2015,2015-12-24,01/28/2016,,4300,171 STREET,4300 171 STREET,4438215,4054280041,Queens,43-00,171 STREET,43-00 171 STREET,4438215,4054280041,4,407,QN52,1193,25,19,,,false,,BBL geosupport,,40.7576127541506,-73.7961616594676,0101000020E6100000846F0850F47252C0FE0D6974F9604440
520364089,Alteration,FILING FOR INTERIOR RENOVATIONS AT BASEMENT. FILING TO CONVERT RESIDENTIAL USE AT BASEMENT OF USE GROUP IA INTO COMMUNITY FACILITY OF GROUP 4A.,OTHERS,Residential,Assembly: Other,Residential,2,2,6357,6357,1,1,0,0,,,,,,In progress (last plan disapproved),01/23/2019 12:00:00 AM,11/15/2018,11/15/2018,,,,,259,MELBA STREET,259 MELBA STREET,5019231,5007520626,Staten Island,259,MELBA STREET,259 MELBA STREET,5019231,5007520626,5,502,SI05,18702,31,50,,true,false,,BBL geosupport,,40.6054711443349,-74.1244755672076,0101000020E6100000B1935E68F78752C08ACB1514804D4440
110479054,Alteration,ALTERATION TYPE 1 TO LEGALIZE EXISTING ONE (1) STORY CHURCH AND CHANGE METES AND BOUNDS AS PER PLANS.,OTHERS,"Industrial, Storage & Utilities",Assembly: Other,Other,1,1,2015,2015,0,0,0,0,0,2011-07-18,2012-02-13,C- CO,0,Complete,02/13/2012 12:00:00 AM,03/16/2009,03/17/2009,12/22/2009,2010-01-11,01/11/2010,02/13/2012,207,E 121 ST,207 E 121 ST,1054623,1017860104,Manhattan,207,EAST 121 STREET,207 EAST 121 STREET,1054623,1017860104,1,111,MN34,194,04,08,,,false,,BBL geosupport,,40.8010986299,-73.937159556327,0101000020E6100000BD63136CFA7B52C03B2560668A664440
320371147,Alteration,OBTAIN NEW C.O. PROPOSED CHURCH AT 1ST FLOOR.,OTHERS,Commercial,Assembly: Other,Other,2,2,2700,2700,2,2,0,0,,,,,,Withdrawn,01/06/2012 12:00:00 AM,01/06/2012,,,,,,2684,FULTON STREET,2684 FULTON STREET,3083306,3036710019,Brooklyn,2684,FULTON STREET,2684 FULTON STREET,3083306,3036710019,3,305,BK82,1198,19,37,,,true,,BBL geosupport,,40.6772331842731,-73.8955400067741,0101000020E6100000B1560887507952C0091CB593AF564440
320913730,Alteration,"CONVERT EXISTING EATING AND DRINKING ESTABLISHMENT TO BE COMMERCIAL USE RETAIL STORE AND OFFICE , ALL THE INTERIOR WORK AND STOREFRONT WORK HAS BEEN FILED ALT2. REQUEST NEW C/O.",OTHERS,Assembly: Other,Retail,Other,2,2,3820,3820,,,,,,2015-07-31,2015-09-16,C- CO,0,Complete,09/16/2015 12:00:00 AM,10/17/2014,10/18/2014,04/10/2015,2015-04-17,04/17/2015,09/16/2015,46,WASHINGTON AVE,46 WASHINGTON AVE,3054134,3018740034,Brooklyn,46,WASHINGTON AVENUE,46 WASHINGTON AVENUE,3054134,3018740034,3,302,BK99,543,13,35,,,false,,BBL geosupport,,40.6973542825492,-73.9680012695091,0101000020E6100000CEC198BBF37D52C024A3B6E742594440
120398480,New Building,HEREBY FILING FOR NEW 3 STORY HOUSE OF WORSHIP WITH RECTORY.,OTHERS,Empty Lot,Assembly: Other,Other,0,3,0,7459,0,1,1,0,,,,,,Withdrawn,07/19/2010 12:00:00 AM,06/28/2010,06/30/2010,,,,,2160,SECOND AVE,2160 SECOND AVE,1052862,1016820049,Manhattan,2160,2 AVENUE,2160 2 AVENUE,1052862,1016820049,1,111,MN34,180,04,08,,,true,,BBL geosupport,,40.7935832148797,-73.9398670239507,0101000020E61000003F9D04C8267C52C00948812294654440
121789902,Alteration,LEGALIZATION OF CHURCH. OBTAIN NEW CERTIFICATE OF OCCUPANCY.,OTHERS,Commercial,Assembly: Other,Other,2,2,2675,2675,1,0,-1,0,,,,,,Withdrawn,10/22/2013 12:00:00 AM,10/22/2013,,,,,,5233,BROADWAY,5233 BROADWAY,1064688,1022150603,Manhattan,5233,BROADWAY,5233 BROADWAY,1064688,1022150603,1,208,MN01,309,10,10,,,true,,BBL geosupport,,40.8754343014868,-73.9091740531369,0101000020E61000000F265EE82F7A52C054572F3B0E704440
120465709,Alteration,ALTERATION 1 NO WORK TO UPDATE PIER 17 EXTERIOR PUBLIC ASSEMBLY.,OTHERS,Assembly: Other,Leisure & Entertainment,Other,4,4,28022,28022,,,,,,,,,,Withdrawn,09/22/2010 12:00:00 AM,09/07/2010,09/07/2010,,,,,89,SOUTH STREET,89 SOUTH STREET,1090548,1000730010,Manhattan,89,SOUTH STREET,89 SOUTH STREET,1090548,1000730010,1,101,MN25,1501,02,01,,,true,,BBL geosupport,,40.7054428181768,-74.0014817646965,0101000020E61000005BBAF846188052C03AA244F34B5A4440
321247110,Alteration,NO WORK APPLICATION TO AMEND CERTIFICATE OF OCCUPANCY TO REFLECT PHYSICAL CULTURAL ESTABLISHMENT.  INTERIOR RENOVATION TO COMPLETED UNDER SEPARATE APPLICATION.,OTHERS,Commercial,Assembly: Other,Other,2,2,7351,7351,,,,,,,,,,Withdrawn,02/10/2016 12:00:00 AM,01/12/2016,01/14/2016,,,,,555,5 AVENUE,555 5 AVENUE,3023689,3010420001,Brooklyn,551,5 AVENUE,551 5 AVENUE,3023689,3010420001,3,306,BK37,141,15,39,,,false,,BBL geosupport,,40.6655871869612,-73.9889152116065,0101000020E61000007A1707634A7F52C0455100F631554440
320500230,Alteration,"TO REDUCE THE NUMBER OF APARTMENTS FROM 4 TO 3 APARTMENTS AND CONVERT THE FIRST FLOOR TO A PLACE OF WORSHIP. ERECT NEW PARTITIONS, INSTALL PLUMBING FIXTURES, GAS RANGES AND MECHANICAL SYSTEMS.",OTHERS,Residential,Assembly: Other,Residential,3,3,5000,5000,4,3,-1,0,,,,,,Withdrawn,07/06/2012 12:00:00 AM,06/26/2012,06/26/2012,,,,,120,WILSON AVENUE,120 WILSON AVENUE,3072711,3031960035,Brooklyn,120,WILSON AVENUE,120 WILSON AVENUE,3072711,3031960035,3,304,BK78,423,32,34,,,true,,BBL geosupport,,40.7008560648472,-73.9264392792255,0101000020E61000003780F9C74A7B52C063DCCAA6B5594440
