job_number,job_type,job_description,bldg_type,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_outlier,x_geomsource,x_reason,latitude,longitude,geom,row_number
421311538,Alteration,VERTICAL ENLARGEMENT OF EXISTING BUILDING. OBTAIN NEW CERTIFICATE OF OCCUPANCY.,OTHERS,Residential,Residential: Multi-Family,Residential,2,3,3721,4707,4,6,2,0,,,,,,In progress (last plan disapproved),04/15/2016 12:00:00 AM,04/08/2016,04/11/2016,,,,,100-15,34TH AVENUE,100-15 34TH AVENUE,4042525,4017150040,Queens,100-15,34 AVENUE,100-15 34 AVENUE,4042525,4017150040,4,403,QN26,377,30,21,,,false,,BBL geosupport,,40.7558325379497,-73.8675531642331,0101000020E61000000DFBB4FD857752C094DFDF1EBF604440,2
420625489,New Building,"THIS APPLICATION IS FILED FOR PROPOSED THREE STORY & CELLAR, THREE FAMILY NEW BUILDING.",1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,8494,0,3,3,0,,,,,,Withdrawn,02/01/2013 12:00:00 AM,09/19/2012,09/19/2012,,,,,100-24,MARTENSE AVENUE,100-24 MARTENSE AVENUE,4542475,4019500032,Queens,100-24,MARTENSE AVENUE,100-24 MARTENSE AVENUE,4047971,4019500032,4,404,QN25,43702,24,21,,,true,,BBL geosupport,,40.7388677605386,-73.857947509263,0101000020E6100000067EAB9CE87652C085CA0138935E4440,2
420607999,New Building,"THIS APPLICATION IS FILED FOR PROPOSED THREE STORY & CELLAR, THREE FAMILY NEW BUILDING.",1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,4247,0,3,3,3,0,2014-10-15,2014-10-15,C- CO,3,Complete,10/15/2014 12:00:00 AM,06/17/2013,06/25/2013,01/02/2014,2014-01-21,02/21/2014,10/15/2014,100-26,MARTENSE AVENUE,100-26 MARTENSE AVENUE,4542359,4019500033,Queens,100-26,MARTENSE AVENUE,100-26 MARTENSE AVENUE,4542359,4019500033,4,404,QN25,43702,24,21,,,false,,BBL geosupport,,40.7389370205254,-73.8578882402241,0101000020E6100000ADD813A4E77652C0E57A007D955E4440,2
321397181,Alteration,"TO CONVERT EXISTING 2 FAMILY HOUSE INTO 4 FAMILY, ERECT NEW PARTITIONS, INSTALL NEW PLUMBING FIXTURES AND MECHANICAL SYSTEM.",OTHERS,Residential,Residential: Multi-Family,Residential,4,4,2912,2912,2,4,2,0,,,,,,Permit issued,08/11/2017 12:00:00 AM,06/01/2016,06/01/2016,09/09/2016,2017-01-19,01/27/2017,,1002,HALSEY STREET,1002 HALSEY STREET,3078720,3034080023,Brooklyn,1002,HALSEY STREET,1002 HALSEY STREET,3078720,3034080023,3,304,BK78,401,32,37,,,false,,BBL geosupport,,40.6862977785556,-73.9143034119541,0101000020E6100000B43D75F2837A52C0631B099BD8574440,2
120084719,New Building,PROPOSE TO CONSTRUCT NEW HOTEL AND INSTALL CONSTRUCTION FENCE AS SHOWN ON DRAWINGS FILED HEREWITH,OTHERS,Empty Lot,Hotel or Dormitory,Other,0,20,0,99900,0,1,1,0,,,,,,Permit issued,01/06/2015 12:00:00 AM,06/24/2009,06/26/2009,05/24/2010,2012-04-25,,,100,VARICK STREET,100 VARICK STREET,1089738,1004770035,Manhattan,96,VARICK STREET,96 VARICK STREET,1089738,1004770035,1,102,MN24,37,02,03,,,false,,BBL geosupport,,40.7240320637428,-74.0056370376069,0101000020E6100000C20A735B5C8052C0F0832915AD5C4440,2
121733222,Alteration,ENLARGE EXISTING BUILDING TO 16 STOREY. OBTAIN NEW CERTIFICATE OF OCCUPANCY.,OTHERS,Public,Residential: Multi-Family,Residential,5,16,9546,104579,0,17,17,0,,,,,,Withdrawn,08/21/2013 12:00:00 AM,08/09/2013,08/09/2013,,,,,1010,PARK AVENUE,1010 PARK AVENUE,1090583,1014960041,Manhattan,1010,PARK AVENUE,1010 PARK AVENUE,1090583,1014967502,1,108,MN40,15001,02,04,,,true,,BBL geosupport,,40.7794901188773,-73.9582719949592,0101000020E610000070C10F54547D52C00A110C55C6634440,2
421591067,Alteration,"PROPOSE INTERIOR RENOVATION WITH EXTERIOR RESTORATION. INTERIOR DEMOLITION OF NON-LOAD BEARING PARTITIONS, RE-LAMINATE EXISTING PARTITION, ERECT NEW PARTITIONS. PROPOSE HORIZONTAL EXTENSION AND SOFFIT REPAIRS. PROPOSE PLUMBING FIXTURES AS PER PLANS. OBTAIN CERTIFICATE OF OCCUPANCY FOR TWO (2) FAMILY DWELLING WITH RELIGIOUS KITCHEN.",1-2-3 FAMILY,Residential,Residential: 1 & 2 Family,Residential,2,2,3753,4473,1,2,1,0,,,,,,In progress,07/06/2018 12:00:00 AM,01/09/2018,01/09/2018,07/06/2018,,,,101-17,97 STREET,101-17 97 STREET,4189412,4091040060,Queens,101-17,97 STREET,101-17 97 STREET,4189412,4091040060,4,409,QN53,4001,27,32,,,false,,BBL geosupport,,40.6842669194417,-73.8436569471595,0101000020E6100000F645B579FE7552C04B5EF40E96574440,2
420879776,New Building,4 STORY MIXED USE BUILDING,OTHERS,Empty Lot,Residential: Multi-Family,Residential,0,4,0,8484,0,6,6,0,,,,,,In progress (last plan disapproved),03/14/2014 12:00:00 AM,10/16/2013,10/17/2013,,,,,101-34,NICOLLS AVE,101-34 NICOLLS AVE,4437185,4016290073,Queens,101-34,NICOLLS AVENUE,101-34 NICOLLS AVENUE,4437185,4016290073,4,404,QN25,413,24,21,,true,false,,BBL geosupport,,40.7451998232875,-73.8630955701056,0101000020E610000042BB33F53C7752C09D0033B5625F4440,2
220172462,New Building,"PROPOSED 3 STORY, 4 FAMILY RESIDENTIAL BUILDING.",OTHERS,Empty Lot,Residential: Multi-Family,Residential,0,3,0,3020,0,4,4,0,,,,,,In progress (last plan disapproved),06/06/2017 12:00:00 AM,07/29/2016,07/29/2016,,,,,1013,ADEE AVENUE,1013 ADEE AVENUE,2128818,2045770003,Bronx,1013,ADEE AVENUE,1013 ADEE AVENUE,2128818,2045770003,2,212,BX31,344,11,12,,,false,,BBL geosupport,,40.869788633723,-73.8579753888392,0101000020E610000098F59A11E97652C0F122E43B556F4440,2
320514412,New Building,PROPOSED NEW BUILDING APPLICATION THREE STY AND CELLAR TWO FAMILY DUPLEX. ONE ZONING LOT 7 TAX LOTS 1014 EAST 89 STREET BROOKLYN NY 11236,1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,3,0,3240,0,2,2,0,,,,,,In progress (last plan disapproved),05/15/2013 12:00:00 AM,01/15/2013,01/16/2013,,,,,1014,EAST 89 STREET,1014 EAST 89 STREET,3398423,3080400040,Brooklyn,1014,EAST 89 STREET,1014 EAST 89 STREET,3398426,3080400043,3,318,BK50,994,18,46,,,true,,BBL geosupport,,40.6376964463714,-73.9048363701201,0101000020E61000006879CED6E87952C069F88209A0514440,2
320840462,New Building,PROPOSED NEW BUILDING APPLICATION THREE STY AND CELLAR TWO FAMILY DUPLEX. ONE ZONING LOT 7 TAX LOTS 1016 EAST 89 STREET BROOKLYN NY 11236,1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,3,0,3563,0,2,2,0,,,,,,In progress (last plan disapproved),11/07/2013 12:00:00 AM,11/01/2013,11/01/2013,,,,,1016,EAST 89 STREET,1016 EAST 89 STREET,3398422,3080400043,Brooklyn,1016,EAST 89 STREET,1016 EAST 89 STREET,3398426,3080400043,3,318,BK50,994,18,46,,,true,,BBL geosupport,,40.6376964463714,-73.9048363701201,0101000020E61000006879CED6E87952C069F88209A0514440,2
320840391,New Building,PROPOSED NEW BUILDING APPLICATION THREE STY AND CELLAR TWO FAMILY DUPLEX. ONE ZONING LOT 7 TAX LOTS 1018 EAST 89 STREET BROOKLYN NY 11236,1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,3,0,3240,0,2,2,0,,,,,,In progress (last plan disapproved),11/08/2013 12:00:00 AM,11/01/2013,11/01/2013,,,,,1018,EAST 89 STREET,1018 EAST 89 STREET,3398421,3080400038,Brooklyn,1018,EAST 89 STREET,1018 EAST 89 STREET,3398426,3080400043,3,318,BK50,994,18,46,,,true,,BBL geosupport,,40.6376964463714,-73.9048363701201,0101000020E61000006879CED6E87952C069F88209A0514440,2
